No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
31,Colors,Use useColorModeValue for mode-aware values,Returns light or dark value based on current color mode,"const bg = useColorModeValue('white', 'gray.800')","Ternary with colorMode === 'dark' for every prop","const bg = useColorModeValue('white', 'gray.800')","const bg = colorMode === 'dark' ? 'gray.800' : 'white'",High,https://chakra-ui.com/docs/styled-system/color-mode#usecolormodevalue
32,Colors,Configure initialColorMode in theme,Set initial color mode and system preference detection,config: { initialColorMode: 'light' useSystemColorMode: true },Hardcoded light-only design without mode support,"config: { initialColorMode: 'system', useSystemColorMode: true }",No color mode config in theme,Medium,https://chakra-ui.com/docs/styled-system/color-mode#setup
33,Colors,Use semantic color names from theme,Reference colors by semantic name not raw hex,bg='brand.500' or color='status.success',Hardcoded hex values that bypass theming,<Badge bg='status.success.bg' color='status.success.text'>,<Badge bg='#CDFFBB' color='#187E2D'>,High,
34,Colors,Ensure 4.5:1 color contrast ratio,WCAG AA requires minimum contrast for text,Test theme color combinations for sufficient contrast,Muted colors for body text or low contrast pairs,color='gray.700' on white background (7:1+),color='gray.400' on white background (< 3:1),High,
35,Colors,Use color alpha with _dark semantic tokens,Chakra supports semantic tokens for automatic mode switching,Define semanticTokens in theme for automatic switching,Separate component logic per color mode,"semanticTokens: { colors: { bg: { default: 'white', _dark: 'gray.800' } } }","Multiple useColorModeValue calls per component",Medium,https://chakra-ui.com/docs/styled-system/semantic-tokens
36,Forms,Wrap inputs in FormControl,FormControl provides context for label error and helper text,<FormControl><FormLabel>Name</FormLabel><Input /></FormControl>,Standalone Input without label or error context,<FormControl isInvalid={!!error}><FormLabel>Email</FormLabel><Input /><FormErrorMessage>{error}</FormErrorMessage></FormControl>,<Input placeholder='Email' />,High,https://chakra-ui.com/docs/components/form-control
37,Forms,Use isInvalid for error states,isInvalid on FormControl propagates error styling to children,<FormControl isInvalid={!!errors.email}>,Manual red border and error text styling,<FormControl isInvalid><Input /><FormErrorMessage>Required</FormErrorMessage></FormControl>,"<Input borderColor='red.500' /><Text color='red'>Required</Text>",High,https://chakra-ui.com/docs/components/form-control#error-message
38,Forms,Use InputGroup for input addons,InputGroup with InputLeftElement or InputRightElement for icons,<InputGroup><InputLeftElement><SearchIcon /></InputLeftElement><Input /></InputGroup>,Absolute positioning for input icons,<InputGroup><InputLeftElement><Icon /></InputLeftElement><Input pl={10} /></InputGroup>,"<Box position='relative'><Icon position='absolute' /><Input pl={10} /></Box>",Medium,https://chakra-ui.com/docs/components/input#add-on
39,Forms,Use Select component for dropdowns,Chakra Select wraps native select with consistent styling,<Select placeholder='Choose option'>,Raw HTML select without Chakra styling,<Select placeholder='Select country'><option>US</option></Select>,<select className='form-select'><option>US</option></select>,Medium,https://chakra-ui.com/docs/components/select
40,Forms,Style focus borders via theme,Configure Input focus styles in theme not per-component,Define Input variant focus styles in extendTheme components,focusBorderColor on every Input instance,"Input: { variants: { outline: { field: { _focus: { borderColor: 'brand.500' } } } } }","<Input focusBorderColor='brand.500' /> on each input",Medium,
41,Forms,Use Checkbox and Radio groups,Chakra provides CheckboxGroup and RadioGroup for grouped controls,<RadioGroup><Stack><Radio value='1'>Option</Radio></Stack></RadioGroup>,Manual state management for radio/checkbox groups,"<RadioGroup onChange={setValue} value={value}><Stack>...</Stack></RadioGroup>","<input type='radio' checked={val === '1'} onChange={...} />",Medium,https://chakra-ui.com/docs/components/radio
42,Animation,Use transition prop for smooth state changes,Chakra components accept transition prop for CSS transitions,transition='all 0.2s' on interactive elements,No transitions on hover/focus state changes,<Box transition='all 0.2s ease' _hover={{ shadow: 'lg' }}>,<Box _hover={{ shadow: 'lg' }}> without transition,Medium,
43,Animation,Use _hover _focus _active pseudo props,Chakra provides underscore-prefixed pseudo prop shorthands,_hover={{ bg: 'brand.600' transform: 'translateY(-2px)' }},onMouseEnter/onMouseLeave state management for hover,"<Box _hover={{ bg: 'gray.50', transform: 'translateY(-2px)' }}>","<Box onMouseEnter={() => setHover(true)} bg={hover ? 'gray.50' : 'white'}>",Medium,https://chakra-ui.com/docs/styled-system/style-props#pseudo
44,Animation,Integrate framer-motion for complex animations,Chakra exports motion components compatible with framer-motion,Use chakra factory with motion for animated Chakra components,Heavy custom animation logic without framer-motion integration,"import { motion } from 'framer-motion'; <motion.div initial={{ opacity: 0 }} animate={{ opacity: 1 }}>","Custom CSS keyframe animations for enter/exit",Low,https://chakra-ui.com/docs/components/transitions
45,Animation,Respect prefers-reduced-motion,Honor user motion preferences in animations,Check prefers-reduced-motion and disable complex animations,Ignoring motion preference settings,"@media (prefers-reduced-motion: reduce) { transition: none }",Forced animations regardless of user preference,High,
46,Accessibility,Use semantic Chakra components,Chakra components render semantic HTML with proper ARIA,Button renders <button> Link renders <a> with correct roles,Using Box with onClick instead of Button,<Button onClick={handleClick}>Submit</Button>,<Box onClick={handleClick} role='button'>Submit</Box>,High,https://chakra-ui.com/docs/components/button
47,Accessibility,Add aria-label to icon-only buttons,Icon buttons need accessible labels for screen readers,<IconButton aria-label='Close menu' icon={<CloseIcon />} />,Icon button without aria-label,<IconButton aria-label='Delete item' icon={<DeleteIcon />} />,<IconButton icon={<DeleteIcon />} />,High,https://chakra-ui.com/docs/components/icon-button
48,Accessibility,Use VisuallyHidden for screen reader text,VisuallyHidden renders content only for screen readers,<VisuallyHidden>Loading complete</VisuallyHidden>,No screen reader context for visual-only indicators,<VisuallyHidden>3 items in cart</VisuallyHidden>,Badge with count but no sr-only text,Medium,https://chakra-ui.com/docs/components/visually-hidden
49,Accessibility,Manage focus in modals and drawers,Chakra Modal traps focus and returns it on close,Use Chakra Modal with built-in focus management,Custom modal without focus trap or return,"<Modal isOpen={isOpen} onClose={onClose} returnFocusOnClose>",<Box position='fixed' zIndex={1400}> as custom modal,High,https://chakra-ui.com/docs/components/modal
50,Accessibility,Use Tab keyboard navigation,Ensure all interactive elements are reachable via Tab key,Logical tab order matching visual layout,tabIndex manipulation that breaks natural order,Natural DOM order with Chakra interactive components,tabIndex={-1} on interactive elements removing keyboard access,High,
